us-az	tanf-s30	us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained	us-az/manual/des/faa5		Legal Authorities D NA Approval Periods Policy Legal Authorities E NA Transitional Benefit Assistance (TBA) Policy Verification Legal Authorities 02 Determining
us-az	tanf-s31	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-benefit-determination/block-5	CA Payment Standard Test	standard for the size of the budgetary unit living in the home. The countable income minus CA earned income deductions cannot exceed the maximum benefit a
us-ca	tanf-s01	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/2/40-118	40-118 WHO MUST BE INCLUDED ON THE STATEMENT OF FACTS (FILING UNIT)	40-118 WHO MUST BE INCLUDED ON THE STATEMENT OF FACTS (FILING UNIT)
us-ca	tanf-s03	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/13/44-352	44-352 OVERPAYMENT RECOUPMENT	ority order unless specifically exempted under Section 44-352.2. .31 Caretaker Relative Recipient When the caretaker relative was a member of the AU at the
us-ca	tanf-s04	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/9/43-119	43-119 SPONSORED NONCITIZENS	43-119 SPONSORED NONCITIZENS
us-ca	tanf-s05	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/11/44-212	44-212 MINIMUM BASIC STANDARD OF ADEQUATE CARE	44-212 MINIMUM BASIC STANDARD OF ADEQUATE CARE
us-ca	tanf-s06	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/1/40-011	40-011 IMPLEMENTATION OF MAXIMUM AID PAYMENT (MAP)	40-011 IMPLEMENTATION OF MAXIMUM AID PAYMENT (MAP)
us-ca	tanf-s07	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/10/44-133	44-133 TREATMENT OF INCOME -- CALWORKS	an the $2,083 Region 1 Nonexempt Family MBSAC for four, family passes applicant test. HANDBOOK CONTINUES Page 412.1 STANDARDS OF ASSISTANCE HANDBOOK C
us-ca	tanf-s08	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/12/44-315	44-315 AMOUNT OF AID	ining months of the AR/CO Payment Period (August through June). *50% Earned Income Disregard and Net non-exempt income must be rounded down to the nearest dollar
us-ca	tanf-s09	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/9/43-106	43-106 ASSIGNMENT OF SUPPORT RIGHTS	43-106 ASSIGNMENT OF SUPPORT RIGHTS
us-ca	tanf-s11	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/5/42-215	42-215 DETERMINING VALUE OF PROPERTY	equity value limit amount shall be counted towards the AU’s CalWORKs resource limit. (a) The equity value limit of $25,000 for non-exempt motor vehicles
us-ca	tanf-s12	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/5/42-215	42-215 DETERMINING VALUE OF PROPERTY	e received .3 Determination of Value of Personal Property Other than Motor Vehicles: The county shall determine the value of personal property in conform
us-ca	tanf-s13	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/12/44-315	44-315 AMOUNT OF AID	une). *50% Earned Income Disregard and Net non-exempt income must be rounded down to the nearest dollar amount per MPP Section 44-315.34. HANDBOOK END
us-ca	tanf-s14	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/5/42-302	42-302 60-MONTH TIME LIMIT REQUIREMENTS FOR ADULTS	42-302 60-MONTH TIME LIMIT REQUIREMENTS FOR ADULTS
